ESTADO,REGIÃO,GÊNERO,GRUPO ETÁRIO,ANO,2010
AMAZONAS,NORTE,MULHERES,85-89,2010,455
AMAZONAS,NORTE,MULHERES,90+,2010,318
RORAIMA,NORTE,HOMENS,0-4,2010,25967
RORAIMA,NORTE,HOMENS,5-9,2010,25721
RORAIMA,NORTE,HOMENS,10-14,2010,26642
RORAIMA,NORTE,HOMENS,15-19,2010,24025
RORAIMA,NORTE,HOMENS,20-24,2010,22094
RORAIMA,NORTE,HOMENS,25-29,2010,21656
RORAIMA,NORTE,HOMENS,30-34,2010,18548
RORAIMA,NORTE,HOMENS,35-39,2010,15091
RORAIMA,NORTE,HOMENS,40-44,2010,13197
RORAIMA,NORTE,HOMENS,45-49,2010,11276
RORAIMA,NORTE,HOMENS,50-54,2010,8939
RORAIMA,NORTE,HOMENS,55-59,2010,6801
RORAIMA,NORTE,HOMENS,60-64,2010,5002
RORAIMA,NORTE,HOMENS,65-69,2010,3254
RORAIMA,NORTE,HOMENS,70-74,2010,2226
RORAIMA,NORTE,HOMENS,75-79,2010,135
RORAIMA,NORTE,HOMENS,80-84,2010,773
RORAIMA,NORTE,HOMENS,85-89,2010,383
RORAIMA,NORTE,HOMENS,90+,2010,208
RORAIMA,NORTE,MULHERES,0-4,2010,24744
RORAIMA,NORTE,MULHERES,5-9,2010,24582
RORAIMA,NORTE,MULHERES,10-14,2010,25901
RORAIMA,NORTE,MULHERES,15-19,2010,23533
RORAIMA,NORTE,MULHERES,20-24,2010,22053
RORAIMA,NORTE,MULHERES,25-29,2010,22057
RORAIMA,NORTE,MULHERES,30-34,2010,18898
RORAIMA,NORTE,MULHERES,35-39,2010,15019
RORAIMA,NORTE,MULHERES,40-44,2010,12417
RORAIMA,NORTE,MULHERES,45-49,2010,10505
RORAIMA,NORTE,MULHERES,50-54,2010,8185
RORAIMA,NORTE,MULHERES,55-59,2010,6
RORAIMA,NORTE,MULHERES,60-64,2010,418
RORAIMA,NORTE,MULHERES,65-69,2010,2828
RORAIMA,NORTE,MULHERES,70-74,2010,1984
RORAIMA,NORTE,MULHERES,75-79,2010,1256
RORAIMA,NORTE,MULHERES,80-84,2010,831
RORAIMA,NORTE,MULHERES,85-89,2010,437
RORAIMA,NORTE,MULHERES,90+,2010,257
PARÁ,NORTE,HOMENS,0-4,2010,407167
PARÁ,NORTE,HOMENS,5-9,2010,419935
PARÁ,NORTE,HOMENS,10-14,2010,431115
PARÁ,NORTE,HOMENS,15-19,2010,402171
PARÁ,NORTE,HOMENS,20-24,2010,380457
PARÁ,NORTE,HOMENS,25-29,2010,357363
PARÁ,NORTE,HOMENS,30-34,2010,314078
PARÁ,NORTE,HOMENS,35-39,2010,262918
PARÁ,NORTE,HOMENS,40-44,2010,224036
PARÁ,NORTE,HOMENS,45-49,2010,182192
PARÁ,NORTE,HOMENS,50-54,2010,150652
PARÁ,NORTE,HOMENS,55-59,2010,118792
PARÁ,NORTE,HOMENS,60-64,2010,89211
PARÁ,NORTE,HOMENS,65-69,2010,67917
PARÁ,NORTE,HOMENS,70-74,2010,47338
PARÁ,NORTE,HOMENS,75-79,2010,30443
PARÁ,NORTE,HOMENS,80-84,2010,16929
PARÁ,NORTE,HOMENS,85-89,2010,7868
PARÁ,NORTE,HOMENS,90+,2010,4978
PARÁ,NORTE,MULHERES,0-4,2010,390266
PARÁ,NORTE,MULHERES,5-9,2010,403443
PARÁ,NORTE,MULHERES,10-14,2010,415995
PARÁ,NORTE,MULHERES,15-19,2010,395307
PARÁ,NORTE,MULHERES,20-24,2010,378347
PARÁ,NORTE,MULHERES,25-29,2010,359358
PARÁ,NORTE,MULHERES,30-34,2010,311273
PARÁ,NORTE,MULHERES,35-39,2010,258346
PARÁ,NORTE,MULHERES,40-44,2010,216479
PARÁ,NORTE,MULHERES,45-49,2010,176436
PARÁ,NORTE,MULHERES,50-54,2010,147407
PARÁ,NORTE,MULHERES,55-59,2010,117285
PARÁ,NORTE,MULHERES,60-64,2010,8751
PARÁ,NORTE,MULHERES,65-69,2010,68226
PARÁ,NORTE,MULHERES,70-74,2010,4925
PARÁ,NORTE,MULHERES,75-79,2010,33103
PARÁ,NORTE,MULHERES,80-84,2010,20563
PARÁ,NORTE,MULHERES,85-89,2010,10445
PARÁ,NORTE,MULHERES,90+,2010,8354
AMAPÁ,NORTE,HOMENS,0-4,2010,40533
AMAPÁ,NORTE,HOMENS,5-9,2010,41856
AMAPÁ,NORTE,HOMENS,10-14,2010,40405
AMAPÁ,NORTE,HOMENS,15-19,2010,3698
AMAPÁ,NORTE,HOMENS,20-24,2010,34452
AMAPÁ,NORTE,HOMENS,25-29,2010,31545
AMAPÁ,NORTE,HOMENS,30-34,2010,27392
AMAPÁ,NORTE,HOMENS,35-39,2010,2349
AMAPÁ,NORTE,HOMENS,40-44,2010,19063
AMAPÁ,NORTE,HOMENS,45-49,2010,14951
AMAPÁ,NORTE,HOMENS,50-54,2010,11846
AMAPÁ,NORTE,HOMENS,55-59,2010,8563
AMAPÁ,NORTE,HOMENS,60-64,2010,5761
AMAPÁ,NORTE,HOMENS,65-69,2010,4434
AMAPÁ,NORTE,HOMENS,70-74,2010,2957
AMAPÁ,NORTE,HOMENS,75-79,2010,1873
AMAPÁ,NORTE,HOMENS,80-84,2010,1026
AMAPÁ,NORTE,HOMENS,85-89,2010,443
AMAPÁ,NORTE,HOMENS,90+,2010,365
AMAPÁ,NORTE,MULHERES,0-4,2010,38656
AMAPÁ,NORTE,MULHERES,5-9,2010,4003
AMAPÁ,NORTE,MULHERES,10-14,2010,39772
AMAPÁ,NORTE,MULHERES,15-19,2010,37169
AMAPÁ,NORTE,MULHERES,20-24,2010,34914
AMAPÁ,NORTE,MULHERES,25-29,2010,3302
AMAPÁ,NORTE,MULHERES,30-34,2010,28561
AMAPÁ,NORTE,MULHERES,35-39,2010,23822
AMAPÁ,NORTE,MULHERES,40-44,2010,18658
AMAPÁ,NORTE,MULHERES,45-49,2010,14355
AMAPÁ,NORTE,MULHERES,50-54,2010,11278
AMAPÁ,NORTE,MULHERES,55-59,2010,8268
AMAPÁ,NORTE,MULHERES,60-64,2010,5561
AMAPÁ,NORTE,MULHERES,65-69,2010,4502
AMAPÁ,NORTE,MULHERES,70-74,2010,3093
AMAPÁ,NORTE,MULHERES,75-79,2010,2104
AMAPÁ,NORTE,MULHERES,80-84,2010,1227
AMAPÁ,NORTE,MULHERES,85-89,2010,635
AMAPÁ,NORTE,MULHERES,90+,2010,701
TOCANTINS,NORTE,HOMENS,0-4,2010,67442
TOCANTINS,NORTE,HOMENS,5-9,2010,69835
TOCANTINS,NORTE,HOMENS,10-14,2010,74749
TOCANTINS,NORTE,HOMENS,15-19,2010,71646
TOCANTINS,NORTE,HOMENS,20-24,2010,67266
TOCANTINS,NORTE,HOMENS,25-29,2010,63263
TOCANTINS,NORTE,HOMENS,30-34,2010,57525
TOCANTINS,NORTE,HOMENS,35-39,2010,48965
TOCANTINS,NORTE,HOMENS,40-44,2010,43479
TOCANTINS,NORTE,HOMENS,45-49,2010,3692
TOCANTINS,NORTE,HOMENS,50-54,2010,30022
TOCANTINS,NORTE,HOMENS,55-59,2010,2474
TOCANTINS,NORTE,HOMENS,60-64,2010,19528
TOCANTINS,NORTE,HOMENS,65-69,2010,15097
TOCANTINS,NORTE,HOMENS,70-74,2010,11603
TOCANTINS,NORTE,HOMENS,75-79,2010,7758
TOCANTINS,NORTE,HOMENS,80-84,2010,4647
TOCANTINS,NORTE,HOMENS,85-89,2010,2188
TOCANTINS,NORTE,HOMENS,90+,2010,1315
TOCANTINS,NORTE,MULHERES,0-4,2010,64305
TOCANTINS,NORTE,MULHERES,5-9,2010,66934
TOCANTINS,NORTE,MULHERES,10-14,2010,71395
TOCANTINS,NORTE,MULHERES,15-19,2010,69489
TOCANTINS,NORTE,MULHERES,20-24,2010,66318
TOCANTINS,NORTE,MULHERES,25-29,2010,63544
TOCANTINS,NORTE,MULHERES,30-34,2010,58434
TOCANTINS,NORTE,MULHERES,35-39,2010,47671
TOCANTINS,NORTE,MULHERES,40-44,2010,42598
TOCANTINS,NORTE,MULHERES,45-49,2010,35301
TOCANTINS,NORTE,MULHERES,50-54,2010,28898
TOCANTINS,NORTE,MULHERES,55-59,2010,2316
TOCANTINS,NORTE,MULHERES,60-64,2010,17864
TOCANTINS,NORTE,MULHERES,65-69,2010,13576
TOCANTINS,NORTE,MULHERES,70-74,2010,10567
TOCANTINS,NORTE,MULHERES,75-79,2010,702
TOCANTINS,NORTE,MULHERES,80-84,2010,4271
TOCANTINS,NORTE,MULHERES,85-89,2010,2161
TOCANTINS,NORTE,MULHERES,90+,2010,1495
MARANHÃO,NORDESTE,HOMENS,0-4,2010,345051
MARANHÃO,NORDESTE,HOMENS,5-9,2010,353735
MARANHÃO,NORDESTE,HOMENS,10-14,2010,372445
MARANHÃO,NORDESTE,HOMENS,15-19,2010,347674
MARANHÃO,NORDESTE,HOMENS,20-24,2010,331257
MARANHÃO,NORDESTE,HOMENS,25-29,2010,29759
MARANHÃO,NORDESTE,HOMENS,30-34,2010,249167
MARANHÃO,NORDESTE,HOMENS,35-39,2010,200438
MARANHÃO,NORDESTE,HOMENS,40-44,2010,175607
MARANHÃO,NORDESTE,HOMENS,45-49,2010,149556
MARANHÃO,NORDESTE,HOMENS,50-54,2010,124981
MARANHÃO,NORDESTE,HOMENS,55-59,2010,104694
MARANHÃO,NORDESTE,HOMENS,60-64,2010,85194
MARANHÃO,NORDESTE,HOMENS,65-69,2010,68025
MARANHÃO,NORDESTE,HOMENS,70-74,2010,51892
MARANHÃO,NORDESTE,HOMENS,75-79,2010,34933
